x, y, mass
-7.2, 8.1, 2
5, -6.5, 1.5
-3.3, 2.2, 3
-1.47025e-13, 2.43948e-13, 2.5
8.9, -2.4, 1
-5.5, -7.8, 2.2
4.4, 3.3, 1.8
-1, 6, 3.1
6.7, 7.5, 2
-8.8, -1.2, 1.3
2.5, -9, 2.7
-2, 4.8, 1.9


-7.2, 8.1, 2
5, -6.5, 1.5
-3.3, 2.2, 3
-4.41076e-13, 7.31844e-13, 2.5
8.9, -2.4, 1
-5.5, -7.8, 2.2
4.4, 3.3, 1.8
-1, 6, 3.1
6.7, 7.5, 2
-8.8, -1.2, 1.3
2.5, -9, 2.7
-2, 4.8, 1.9


-7.2, 8.1, 2
5, -6.5, 1.5
-3.3, 2.2, 3
-8.82152e-13, 1.46369e-12, 2.5
8.9, -2.4, 1
-5.5, -7.8, 2.2
4.4, 3.3, 1.8
-1, 6, 3.1
6.7, 7.5, 2
-8.8, -1.2, 1.3
2.5, -9, 2.7
-2, 4.8, 1.9


-7.2, 8.1, 2
5, -6.5, 1.5
-3.3, 2.2, 3
-1.47025e-12, 2.43948e-12, 2.5
8.9, -2.4, 1
-5.5, -7.8, 2.2
4.4, 3.3, 1.8
-1, 6, 3.1
6.7, 7.5, 2
-8.8, -1.2, 1.3
2.5, -9, 2.7
-2, 4.8, 1.9


-7.2, 8.1, 2
5, -6.5, 1.5
-3.3, 2.2, 3
-2.20538e-12, 3.65922e-12, 2.5
8.9, -2.4, 1
-5.5, -7.8, 2.2
4.4, 3.3, 1.8
-1, 6, 3.1
6.7, 7.5, 2
-8.8, -1.2, 1.3
2.5, -9, 2.7
-2, 4.8, 1.9


